state_id,window_start,flow_count,unique_hosts,unique_src_hosts,unique_dst_hosts,unique_edges,new_edges,internal_edges,total_bytes,total_packets,syn_count,rst_count,fin_count,max_out_fanout,mean_out_fanout,dst_port_entropy
17,2017-07-07 13:17:00,1003,155,80,138,218,158,16,7328492.0,13251.0,31.0,0.0,15.0,109.0,1.4064516129032258,2.544658914130638
18,2017-07-07 13:18:00,809,133,76,114,190,139,12,5155093.0,11287.0,27.0,0.0,8.0,70.0,1.4285714285714286,2.810007382665135
19,2017-07-07 13:19:00,222,75,58,41,91,28,15,120330.0,1439.0,19.0,0.0,3.0,14.0,1.2133333333333334,5.408094117197724
20,2017-07-07 13:20:00,194,80,60,49,102,26,7,43411.0,821.0,32.0,0.0,5.0,28.0,1.275,5.1286340983835865
21,2017-07-07 13:21:00,247,67,45,59,105,29,13,640215.0,2745.0,41.0,0.0,3.0,18.0,1.5671641791044777,3.6826729922136403
22,2017-07-07 13:22:00,753,97,45,94,144,106,23,3362811.0,8533.0,24.0,0.0,17.0,61.0,1.4845360824742269,2.644566960236707
23,2017-07-07 13:23:00,504,100,65,77,138,83,11,1756189.0,5184.0,19.0,0.0,7.0,31.0,1.38,3.5630035718490043
24,2017-07-07 13:24:00,323,88,58,60,109,51,11,7564432.0,8480.0,24.0,0.0,5.0,21.0,1.2386363636363635,3.867597262543562
25,2017-07-07 13:25:00,826,134,56,117,180,110,17,10237470.0,16135.0,15.0,0.0,8.0,73.0,1.3432835820895523,2.5509890078281017
26,2017-07-07 13:26:00,312,61,40,43,85,24,23,871449.0,2633.0,22.0,1.0,7.0,11.0,1.3934426229508197,4.212541008191334
27,2017-07-07 13:27:00,301,90,61,56,116,52,18,4725944.0,7436.0,23.0,0.0,11.0,19.0,1.288888888888889,4.685434145736091
28,2017-07-07 13:28:00,740,105,58,93,159,106,15,5514131.0,11666.0,18.0,2.0,5.0,51.0,1.5142857142857142,2.3503305993164627
29,2017-07-07 13:29:00,541,100,72,86,164,106,18,5910800.0,8497.0,29.0,0.0,14.0,40.0,1.64,4.086382091905518
30,2017-07-07 13:30:00,173,74,54,38,91,21,14,220032.0,1367.0,24.0,0.0,3.0,12.0,1.2297297297297298,5.8455456405188375
31,2017-07-07 13:31:00,1024,119,77,113,220,132,21,5235419.0,13136.0,46.0,0.0,6.0,60.0,1.8487394957983194,2.8759851852537643
32,2017-07-07 13:32:00,213,65,39,51,86,25,16,313731.0,1743.0,11.0,0.0,1.0,18.0,1.323076923076923,3.2661248951150124
33,2017-07-07 13:33:00,149,53,39,31,70,13,12,118590.0,971.0,14.0,0.0,0.0,10.0,1.320754716981132,5.952507540246352
34,2017-07-07 13:34:00,3535,380,192,368,608,521,19,45585431.0,69418.0,87.0,0.0,46.0,287.0,1.6,3.0194997709973808
35,2017-07-07 13:35:00,2574,326,205,294,533,333,17,7335138.0,24147.0,76.0,0.0,18.0,179.0,1.6349693251533743,3.2782242824026206
36,2017-07-07 13:36:00,4021,432,209,378,644,394,14,38375631.0,59528.0,52.0,0.0,9.0,181.0,1.4907407407407407,2.74941861045739
37,2017-07-07 13:37:00,669,202,109,151,258,60,16,2685155.0,6691.0,41.0,0.0,9.0,46.0,1.2772277227722773,4.036045159921865
38,2017-07-07 13:38:00,1315,265,191,196,414,182,11,5160107.0,12719.0,81.0,1.0,6.0,123.0,1.5622641509433963,4.2094766704347535
39,2017-07-07 13:39:00,1023,185,114,169,319,138,19,6434878.0,13286.0,82.0,0.0,17.0,51.0,1.7243243243243243,3.4078623604419382
40,2017-07-07 13:40:00,1062,161,103,126,235,113,25,4822289.0,12056.0,50.0,0.0,6.0,85.0,1.4596273291925466,3.004838139664538
41,2017-07-07 13:41:00,292,94,56,59,117,19,15,269168.0,1874.0,20.0,0.0,2.0,28.0,1.2446808510638299,4.249072555299002
42,2017-07-07 13:42:00,785,140,80,124,219,93,17,4503165.0,10094.0,61.0,0.0,3.0,65.0,1.5642857142857143,2.70896185196163
43,2017-07-07 13:43:00,542,87,50,70,125,44,18,1963481.0,4540.0,31.0,0.0,1.0,23.0,1.4367816091954022,2.9934744468363643
44,2017-07-07 13:44:00,196,75,42,50,86,23,13,333906.0,1732.0,8.0,0.0,0.0,21.0,1.1466666666666667,4.118655888692905
45,2017-07-07 13:45:00,1270,172,96,158,257,150,22,4709750.0,12665.0,31.0,0.0,4.0,100.0,1.494186046511628,2.4410005814327977
46,2017-07-07 13:46:00,1226,118,59,109,167,61,20,3411840.0,9820.0,19.0,0.0,1.0,76.0,1.4152542372881356,2.3259297995490913
47,2017-07-07 13:47:00,1206,159,88,144,228,155,21,11407992.0,19300.0,38.0,0.0,10.0,108.0,1.4339622641509433,2.7320594723404206
48,2017-07-07 13:48:00,1020,117,72,103,183,111,11,19353682.0,24633.0,32.0,0.0,4.0,68.0,1.564102564102564,2.7910823758881715
49,2017-07-07 13:49:00,276,89,61,51,107,30,13,364131.0,2503.0,17.0,0.0,1.0,16.0,1.202247191011236,4.347816149823935
50,2017-07-07 13:50:00,579,96,59,85,162,69,16,7088891.0,10182.0,42.0,0.0,2.0,24.0,1.6875,3.6418870357508553
51,2017-07-07 13:51:00,195,67,44,60,105,16,14,212922.0,1551.0,42.0,0.0,0.0,25.0,1.5671641791044777,4.17024388769472
52,2017-07-07 13:52:00,337,73,39,60,101,26,21,3093013.0,5935.0,14.0,0.0,0.0,13.0,1.3835616438356164,3.0940758097246834
53,2017-07-07 13:53:00,934,139,67,134,214,113,18,2633054.0,9370.0,37.0,1.0,1.0,83.0,1.539568345323741,2.699315218544656
54,2017-07-07 13:54:00,514,91,60,63,124,63,21,7483877.0,12417.0,22.0,0.0,4.0,27.0,1.3626373626373627,3.5556663802794186
55,2017-07-07 13:55:00,1583,172,90,159,278,152,20,5893964.0,17878.0,45.0,0.0,19.0,70.0,1.6162790697674418,2.9138036914476273
56,2017-07-07 13:56:00,534,120,81,83,163,64,16,1424020.0,4379.0,33.0,1.0,11.0,34.0,1.3583333333333334,3.964854126749592
57,2017-07-07 13:57:00,866,136,91,109,216,79,19,3641868.0,9214.0,71.0,0.0,7.0,46.0,1.588235294117647,3.185655991664773
58,2017-07-07 13:58:00,853,143,105,116,234,104,16,2627919.0,8076.0,54.0,0.0,15.0,48.0,1.6363636363636365,3.2407258230026885
59,2017-07-07 13:59:00,1298,160,79,144,232,121,13,10545325.0,19860.0,33.0,0.0,17.0,58.0,1.45,2.5642733241506
60,2017-07-07 14:00:00,615,108,66,86,158,53,22,2389774.0,6094.0,34.0,1.0,15.0,27.0,1.462962962962963,3.542448894249259
61,2017-07-07 14:01:00,526,140,97,99,206,70,23,2905977.0,5927.0,48.0,2.0,7.0,24.0,1.4714285714285715,4.251852887416254
62,2017-07-07 14:02:00,459,103,67,79,146,41,19,4121894.0,6509.0,46.0,0.0,12.0,42.0,1.4174757281553398,3.4140236320608666
63,2017-07-07 14:03:00,258,56,32,45,78,21,18,1929852.0,4203.0,31.0,0.0,7.0,14.0,1.3928571428571428,3.241403250997435
64,2017-07-07 14:04:00,615,70,37,64,100,50,15,1712262.0,5514.0,26.0,0.0,9.0,29.0,1.4285714285714286,2.203305055083778
65,2017-07-07 14:05:00,795,135,71,124,190,91,15,5196870.0,11272.0,42.0,0.0,8.0,79.0,1.4074074074074074,2.8388357813405674
66,2017-07-07 14:06:00,540,88,42,68,112,51,20,8296410.0,12180.0,24.0,0.0,24.0,23.0,1.2727272727272727,2.8988865204908114
67,2017-07-07 14:07:00,1136,171,92,146,245,119,21,7135631.0,14018.0,35.0,0.0,7.0,100.0,1.432748538011696,2.61408291835863
68,2017-07-07 14:08:00,1526,215,116,197,346,205,17,8012438.0,19938.0,74.0,1.0,12.0,98.0,1.6093023255813954,2.7076889096363024
69,2017-07-07 14:09:00,862,163,106,114,216,106,14,5168711.0,10047.0,30.0,0.0,6.0,59.0,1.3251533742331287,3.4354313089408537
70,2017-07-07 14:10:00,1671,216,129,177,341,183,20,6524540.0,16675.0,65.0,0.0,27.0,83.0,1.5787037037037037,2.9977271723030716
71,2017-07-07 14:11:00,723,145,85,112,207,59,20,5247905.0,9690.0,49.0,1.0,8.0,34.0,1.4275862068965517,3.5109193302518356
72,2017-07-07 14:12:00,443,107,69,74,151,47,23,813897.0,3620.0,23.0,0.0,1.0,19.0,1.411214953271028,4.209503315264773
73,2017-07-07 14:13:00,1983,252,116,243,397,271,23,9325591.0,22499.0,67.0,0.0,21.0,166.0,1.5753968253968254,2.6690326827621402
74,2017-07-07 14:14:00,1173,204,97,177,284,134,12,6163756.0,12883.0,33.0,0.0,8.0,86.0,1.392156862745098,3.09237220322318
75,2017-07-07 14:15:00,804,173,114,112,249,95,24,2258529.0,7021.0,42.0,0.0,10.0,42.0,1.439306358381503,4.256493105245751
76,2017-07-07 14:16:00,1179,179,114,155,303,136,24,2689968.0,10564.0,53.0,0.0,5.0,98.0,1.6927374301675977,3.1606945779717126
77,2017-07-07 14:17:00,187,81,54,48,102,19,20,1975728.0,3226.0,10.0,0.0,3.0,11.0,1.2592592592592593,4.781256107130243
78,2017-07-07 14:18:00,795,130,67,108,180,99,15,7169128.0,13772.0,19.0,0.0,10.0,85.0,1.3846153846153846,2.8540050010459277
79,2017-07-07 14:19:00,535,112,59,85,142,70,15,6082816.0,10648.0,22.0,0.0,3.0,35.0,1.2678571428571428,2.856196597493998
80,2017-07-07 14:20:00,1594,211,133,188,362,202,24,7866403.0,17595.0,87.0,0.0,24.0,114.0,1.7156398104265402,3.3637855847480433
81,2017-07-07 14:21:00,440,102,57,81,130,41,14,312914.0,2559.0,27.0,0.0,8.0,44.0,1.2745098039215685,3.677158097638589
82,2017-07-07 14:22:00,908,126,79,107,207,82,26,8350077.0,13720.0,44.0,0.0,8.0,30.0,1.6428571428571428,3.179759746703618
83,2017-07-07 14:23:00,782,123,77,106,200,89,15,5850492.0,11938.0,29.0,0.0,10.0,39.0,1.6260162601626016,3.385594100368144
84,2017-07-07 14:24:00,975,157,66,125,196,93,12,6478836.0,13668.0,30.0,0.0,10.0,79.0,1.2484076433121019,2.454245762243258
85,2017-07-07 14:25:00,2214,244,148,211,379,197,20,14874874.0,27458.0,42.0,0.0,14.0,134.0,1.5532786885245902,2.6733991731458167
86,2017-07-07 14:26:00,390,131,85,89,174,48,9,733411.0,2446.0,55.0,0.0,9.0,31.0,1.3282442748091603,5.344199611651332
87,2017-07-07 14:27:00,811,143,94,106,236,82,25,3524983.0,9573.0,48.0,0.0,8.0,42.0,1.6503496503496504,3.7393790379853806
88,2017-07-07 14:28:00,1587,187,121,176,322,177,22,5894300.0,15829.0,61.0,0.0,3.0,128.0,1.7219251336898396,2.9160982041514187
89,2017-07-07 14:29:00,1036,179,103,151,260,142,15,7684890.0,15687.0,39.0,0.0,4.0,96.0,1.452513966480447,3.0886821905031003
90,2017-07-07 14:30:00,1230,200,140,143,292,101,18,9521602.0,16595.0,29.0,0.0,0.0,82.0,1.46,3.1690378577201987
91,2017-07-07 14:31:00,321,108,67,79,148,21,16,736493.0,2692.0,38.0,0.0,3.0,24.0,1.3703703703703705,4.515222659942766
92,2017-07-07 14:32:00,235,82,64,56,134,17,19,4267470.0,5827.0,41.0,0.0,6.0,21.0,1.6341463414634145,4.995514877100792
93,2017-07-07 14:33:00,514,100,35,93,131,49,16,1899264.0,6021.0,26.0,0.0,1.0,50.0,1.31,2.46546442928277
94,2017-07-07 14:34:00,567,102,49,95,144,57,22,4767742.0,8317.0,29.0,0.0,21.0,43.0,1.411764705882353,3.245425596812887
95,2017-07-07 14:35:00,945,136,91,102,199,57,17,6783956.0,12490.0,16.0,2.0,5.0,70.0,1.463235294117647,2.849606951513872
96,2017-07-07 14:36:00,915,134,67,126,192,99,14,6792775.0,12832.0,41.0,0.0,5.0,57.0,1.4328358208955223,2.6172284119839455
97,2017-07-07 14:37:00,1111,181,90,157,272,130,22,6115717.0,14805.0,25.0,0.0,14.0,75.0,1.5027624309392265,2.7102740698489898
98,2017-07-07 14:38:00,246,100,68,64,130,29,14,1233529.0,2740.0,26.0,1.0,5.0,23.0,1.3,5.036345931026038
99,2017-07-07 14:39:00,1478,212,151,193,391,237,15,9327600.0,18880.0,114.0,0.0,36.0,86.0,1.8443396226415094,3.430681961634334
100,2017-07-07 14:40:00,973,132,75,119,202,43,32,8593110.0,14812.0,19.0,0.0,6.0,74.0,1.5303030303030303,2.6942244961133484
101,2017-07-07 14:41:00,1301,191,96,168,271,140,12,13451101.0,20791.0,50.0,0.0,11.0,88.0,1.418848167539267,2.9063422723217367
102,2017-07-07 14:42:00,410,134,87,95,191,48,25,1119326.0,3697.0,49.0,0.0,5.0,49.0,1.4253731343283582,4.438747561022922
103,2017-07-07 14:43:00,443,114,82,75,165,50,18,1169143.0,3616.0,47.0,0.0,11.0,25.0,1.4473684210526316,4.617050964437238
104,2017-07-07 14:44:00,126,58,36,43,70,14,11,98760.0,1110.0,19.0,0.0,6.0,13.0,1.206896551724138,3.972317851619641
105,2017-07-07 14:45:00,1424,158,88,152,255,83,25,12800795.0,21587.0,30.0,0.0,18.0,86.0,1.6139240506329113,2.841297145314463
106,2017-07-07 14:46:00,1239,159,94,147,250,145,19,5780630.0,15046.0,32.0,0.0,6.0,94.0,1.5723270440251573,2.6712716987674283
107,2017-07-07 14:47:00,275,73,43,51,96,22,22,1304939.0,3458.0,23.0,0.0,8.0,12.0,1.3150684931506849,3.728940697769029
108,2017-07-07 14:48:00,266,68,45,40,87,18,12,327042.0,2016.0,23.0,0.0,2.0,19.0,1.2794117647058822,4.427889814816136
109,2017-07-07 14:49:00,1292,150,84,139,232,106,18,4758696.0,12745.0,78.0,0.0,37.0,100.0,1.5466666666666666,2.339047736960398
110,2017-07-07 14:50:00,1678,219,123,186,349,190,18,24672566.0,34250.0,35.0,0.0,16.0,117.0,1.5936073059360731,3.147077356855985
111,2017-07-07 14:51:00,11205,84,29,73,98,12,15,386143.0,23951.0,11.0,0.0,54.0,42.0,1.1666666666666667,9.964664279313627
112,2017-07-07 14:52:00,44127,77,54,43,106,28,22,1977271.0,92727.0,15.0,0.0,223.0,10.0,1.3766233766233766,9.993751219456758
113,2017-07-07 14:53:00,4700,118,72,110,201,83,14,6834236.0,20271.0,44.0,1.0,34.0,42.0,1.7033898305084745,9.504716161055686
114,2017-07-07 14:54:00,36020,157,107,139,250,142,15,9425882.0,88199.0,67.0,0.0,212.0,67.0,1.5923566878980893,9.963783540175728
115,2017-07-07 14:55:00,46216,207,96,198,312,154,22,9385742.0,110399.0,64.0,0.0,233.0,131.0,1.5072463768115942,9.944091312599166
116,2017-07-07 14:56:00,1502,163,108,106,218,45,17,2367220.0,7365.0,39.0,1.0,7.0,51.0,1.3374233128834356,8.965448491489301
117,2017-07-07 14:57:00,1798,253,131,226,420,155,24,11233398.0,23882.0,70.0,0.0,26.0,74.0,1.6600790513833992,2.908340252085493
118,2017-07-07 14:58:00,1134,209,119,178,307,117,19,4113893.0,12564.0,65.0,0.0,18.0,93.0,1.4688995215311005,3.1864482794440234
119,2017-07-07 14:59:00,338,104,78,59,143,36,16,248273.0,2122.0,43.0,0.0,8.0,13.0,1.375,5.817834239789139
120,2017-07-07 15:00:00,898,153,74,122,226,66,25,4532885.0,12355.0,67.0,0.0,17.0,45.0,1.477124183006536,3.374846565638992
121,2017-07-07 15:01:00,784,144,73,138,230,61,23,2370532.0,8931.0,55.0,0.0,20.0,42.0,1.5972222222222223,2.9563720405909413
122,2017-07-07 15:02:00,659,150,109,98,229,77,26,1232064.0,5614.0,45.0,0.0,27.0,42.0,1.5266666666666666,4.743201677799846
123,2017-07-07 15:03:00,329,91,57,66,124,23,18,682506.0,2992.0,29.0,0.0,8.0,19.0,1.3626373626373627,3.847417993782904
124,2017-07-07 15:04:00,669,108,59,97,160,70,16,2732194.0,7129.0,36.0,0.0,10.0,72.0,1.4814814814814814,2.6759293095391876
125,2017-07-07 15:05:00,1318,193,73,179,278,103,22,11283909.0,21921.0,32.0,0.0,4.0,99.0,1.4404145077720207,2.3518935970742376
126,2017-07-07 15:06:00,740,179,119,138,263,96,19,2848064.0,7894.0,63.0,0.0,15.0,43.0,1.4692737430167597,3.9081518973123925
127,2017-07-07 15:07:00,1103,180,118,144,284,104,21,7704861.0,15122.0,49.0,0.0,10.0,40.0,1.5777777777777777,3.246348737225621
128,2017-07-07 15:08:00,6261,195,111,177,317,136,17,5778587.0,23660.0,107.0,3.0,47.0,105.0,1.6256410256410256,9.298635010019945
129,2017-07-07 15:09:00,4482,122,91,64,165,29,16,606705.0,11474.0,36.0,0.0,22.0,17.0,1.3524590163934427,9.928742327885905
130,2017-07-07 15:10:00,4669,280,154,259,463,216,30,8172649.0,30215.0,90.0,0.0,33.0,137.0,1.6535714285714285,6.933305973851557
131,2017-07-07 15:11:00,567,138,98,92,187,57,13,1586791.0,5321.0,45.0,0.0,10.0,23.0,1.355072463768116,3.9191918804710855
132,2017-07-07 15:12:00,1955,240,140,205,389,162,22,14093153.0,27050.0,68.0,0.0,25.0,61.0,1.6208333333333333,2.762714514566059
133,2017-07-07 15:13:00,584,139,95,105,196,56,17,2743411.0,6050.0,35.0,0.0,9.0,32.0,1.410071942446043,3.821829795466647
134,2017-07-07 15:14:00,1618,225,97,198,318,140,18,10315880.0,21824.0,41.0,0.0,18.0,143.0,1.4133333333333333,2.809260071821759
135,2017-07-07 15:15:00,870,171,78,146,238,94,25,8169551.0,12938.0,36.0,0.0,18.0,55.0,1.391812865497076,2.9281176132126863
136,2017-07-07 15:16:00,786,152,89,124,218,69,21,3800972.0,9114.0,45.0,0.0,4.0,77.0,1.4342105263157894,3.047475804986148
137,2017-07-07 15:17:00,686,134,96,95,202,70,19,4373898.0,9192.0,53.0,0.0,19.0,27.0,1.507462686567164,3.5206318298415455
138,2017-07-07 15:18:00,616,105,74,92,159,84,10,1917415.0,6245.0,34.0,0.0,10.0,59.0,1.5142857142857142,3.3747150109843114
139,2017-07-07 15:19:00,838,120,51,110,169,85,20,11293975.0,16836.0,13.0,0.0,10.0,58.0,1.4083333333333334,2.8641936074096837
140,2017-07-07 15:20:00,814,130,83,102,189,75,15,3519181.0,8788.0,77.0,0.0,41.0,36.0,1.4538461538461538,3.6524138443952214
141,2017-07-07 15:21:00,899,139,92,122,226,100,21,5490701.0,12652.0,45.0,0.0,24.0,68.0,1.6258992805755397,3.159613698044133
142,2017-07-07 15:22:00,7157,242,148,218,406,210,21,16057987.0,40526.0,53.0,0.0,41.0,67.0,1.677685950413223,8.719668545337615
143,2017-07-07 15:23:00,5164,209,133,156,304,109,17,6340971.0,22469.0,80.0,0.0,57.0,64.0,1.4545454545454546,9.417498535215058
144,2017-07-07 15:24:00,464,139,97,98,210,46,14,5231580.0,8130.0,70.0,0.0,13.0,27.0,1.5107913669064748,4.71879689998202
145,2017-07-07 15:25:00,1129,160,113,134,277,82,15,11685110.0,18110.0,88.0,0.0,29.0,40.0,1.73125,3.3767736825672805
146,2017-07-07 15:26:00,320,86,54,67,126,22,14,2390478.0,4260.0,32.0,1.0,2.0,23.0,1.4651162790697674,3.571104171122599
147,2017-07-07 15:27:00,2195,177,100,166,300,138,24,17007033.0,34753.0,118.0,0.0,80.0,67.0,1.694915254237288,2.8137233483708313
148,2017-07-07 15:28:00,1676,198,114,180,318,143,24,25405103.0,36317.0,74.0,0.0,33.0,91.0,1.606060606060606,3.2590999424588056
149,2017-07-07 15:29:00,1589,230,125,190,326,141,16,14086219.0,23052.0,159.0,0.0,126.0,116.0,1.4173913043478261,3.9599709139719
