episode_id,scenario,seed,duration_seconds,cohort,split,paired_family,defender_action,background_profile,topology_profile,node_count
lab_126,credential_action_block,10044,150,credential_action,train,v5_train_credential_action_10044,block_ssh,quiet,flat_five_host,5
lab_127,credential_action_permit,10015,150,credential_action,train,v5_train_credential_action_10015,permit_ssh,web,flat_five_host,5
lab_128,credential_action_block,10015,150,credential_action,train,v5_train_credential_action_10015,block_ssh,web,flat_five_host,5
lab_129,credential_action_permit,10061,150,credential_action,train,v5_train_credential_action_10061,permit_ssh,admin,flat_five_host,5
lab_130,credential_action_block,10061,150,credential_action,train,v5_train_credential_action_10061,block_ssh,admin,flat_five_host,5
lab_131,credential_action_permit,10060,150,credential_action,train,v5_train_credential_action_10060,permit_ssh,mixed,flat_five_host,5
lab_132,credential_action_block,10060,150,credential_action,train,v5_train_credential_action_10060,block_ssh,mixed,flat_five_host,5
lab_133,scan_guess_then_stop,10109,150,passive_prefix,train,v5_train_passive_prefix_10109,none,quiet,flat_five_host,5
lab_134,one_hop,10109,150,passive_prefix,train,v5_train_passive_prefix_10109,none,quiet,flat_five_host,5
lab_135,scan_guess_then_stop,10106,150,passive_prefix,train,v5_train_passive_prefix_10106,none,web,flat_five_host,5
lab_136,one_hop,10106,150,passive_prefix,train,v5_train_passive_prefix_10106,none,web,flat_five_host,5
lab_137,scan_guess_then_stop,10133,150,passive_prefix,train,v5_train_passive_prefix_10133,none,admin,flat_five_host,5
lab_138,one_hop,10133,150,passive_prefix,train,v5_train_passive_prefix_10133,none,admin,flat_five_host,5
lab_139,scan_guess_then_stop,10005,150,passive_prefix,train,v5_train_passive_prefix_10005,none,mixed,flat_five_host,5
lab_140,one_hop,10005,150,passive_prefix,train,v5_train_passive_prefix_10005,none,mixed,flat_five_host,5
lab_141,background_only,10153,150,benign_control,train,v5_train_benign_control_10153,none,quiet,flat_five_host,5
lab_142,legitimate_ssh,10153,150,benign_control,train,v5_train_benign_control_10153,none,quiet,flat_five_host,5
lab_143,background_only,10048,150,benign_control,train,v5_train_benign_control_10048,none,web,flat_five_host,5
lab_144,legitimate_ssh,10048,150,benign_control,train,v5_train_benign_control_10048,none,web,flat_five_host,5
lab_145,background_only,10022,150,benign_control,train,v5_train_benign_control_10022,none,admin,flat_five_host,5
lab_146,legitimate_ssh,10022,150,benign_control,train,v5_train_benign_control_10022,none,admin,flat_five_host,5
lab_147,background_only,10012,150,benign_control,train,v5_train_benign_control_10012,none,mixed,flat_five_host,5
lab_148,legitimate_ssh,10012,150,benign_control,train,v5_train_benign_control_10012,none,mixed,flat_five_host,5
lab_149,scan_guess_action_permit,10004,150,scan_action,validation,v5_validation_scan_action_10004,permit_ssh,quiet,flat_five_host,5
lab_150,scan_guess_action_block,10004,150,scan_action,validation,v5_validation_scan_action_10004,block_ssh,quiet,flat_five_host,5
lab_151,scan_guess_action_permit,10152,150,scan_action,validation,v5_validation_scan_action_10152,permit_ssh,admin,flat_five_host,5
lab_152,scan_guess_action_block,10152,150,scan_action,validation,v5_validation_scan_action_10152,block_ssh,admin,flat_five_host,5
lab_153,credential_action_permit,10172,150,credential_action,validation,v5_validation_credential_action_10172,permit_ssh,web,flat_five_host,5
lab_154,credential_action_block,10172,150,credential_action,validation,v5_validation_credential_action_10172,block_ssh,web,flat_five_host,5
lab_155,credential_action_permit,10025,150,credential_action,validation,v5_validation_credential_action_10025,permit_ssh,mixed,flat_five_host,5
lab_156,credential_action_block,10025,150,credential_action,validation,v5_validation_credential_action_10025,block_ssh,mixed,flat_five_host,5
lab_157,scan_guess_then_stop,10013,150,passive_prefix,validation,v5_validation_passive_prefix_10013,none,admin,flat_five_host,5
lab_158,one_hop,10013,150,passive_prefix,validation,v5_validation_passive_prefix_10013,none,admin,flat_five_host,5
lab_159,scan_guess_then_stop,10065,150,passive_prefix,validation,v5_validation_passive_prefix_10065,none,web,flat_five_host,5
lab_160,one_hop,10065,150,passive_prefix,validation,v5_validation_passive_prefix_10065,none,web,flat_five_host,5
lab_161,background_only,10067,150,benign_control,validation,v5_validation_benign_control_10067,none,quiet,flat_five_host,5
lab_162,legitimate_ssh,10067,150,benign_control,validation,v5_validation_benign_control_10067,none,quiet,flat_five_host,5
lab_163,background_only,10033,150,benign_control,validation,v5_validation_benign_control_10033,none,mixed,flat_five_host,5
lab_164,legitimate_ssh,10033,150,benign_control,validation,v5_validation_benign_control_10033,none,mixed,flat_five_host,5
lab_165,scan_guess_action_permit,10046,150,scan_action,test,v5_test_scan_action_10046,permit_ssh,web,flat_five_host,5
lab_166,scan_guess_action_block,10046,150,scan_action,test,v5_test_scan_action_10046,block_ssh,web,flat_five_host,5
lab_167,scan_guess_action_permit,10051,150,scan_action,test,v5_test_scan_action_10051,permit_ssh,mixed,flat_five_host,5
lab_168,scan_guess_action_block,10051,150,scan_action,test,v5_test_scan_action_10051,block_ssh,mixed,flat_five_host,5
lab_169,credential_action_permit,10084,150,credential_action,test,v5_test_credential_action_10084,permit_ssh,admin,flat_five_host,5
lab_170,credential_action_block,10084,150,credential_action,test,v5_test_credential_action_10084,block_ssh,admin,flat_five_host,5
lab_171,credential_action_permit,10000,150,credential_action,test,v5_test_credential_action_10000,permit_ssh,quiet,flat_five_host,5
lab_172,credential_action_block,10000,150,credential_action,test,v5_test_credential_action_10000,block_ssh,quiet,flat_five_host,5
lab_173,scan_guess_then_stop,10039,150,passive_prefix,test,v5_test_passive_prefix_10039,none,quiet,flat_five_host,5
lab_174,one_hop,10039,150,passive_prefix,test,v5_test_passive_prefix_10039,none,quiet,flat_five_host,5
lab_175,scan_guess_then_stop,10142,150,passive_prefix,test,v5_test_passive_prefix_10142,none,mixed,flat_five_host,5
lab_176,one_hop,10142,150,passive_prefix,test,v5_test_passive_prefix_10142,none,mixed,flat_five_host,5
lab_177,matched_legitimate_ssh,10014,150,intent_probe,test,v5_test_intent_probe_10014,none,admin,flat_five_host,5
lab_178,credential_one_hop,10014,150,intent_probe,test,v5_test_intent_probe_10014,none,admin,flat_five_host,5
lab_179,matched_legitimate_ssh,10099,150,intent_probe,test,v5_test_intent_probe_10099,none,mixed,flat_five_host,5
lab_180,credential_one_hop,10099,150,intent_probe,test,v5_test_intent_probe_10099,none,mixed,flat_five_host,5
lab_181,matched_legitimate_ssh,10056,150,intent_probe,test,v5_test_intent_probe_10056,none,quiet,flat_five_host,5
lab_182,credential_one_hop,10056,150,intent_probe,test,v5_test_intent_probe_10056,none,quiet,flat_five_host,5
lab_183,matched_legitimate_ssh,10003,150,intent_probe,test,v5_test_intent_probe_10003,none,web,flat_five_host,5
lab_184,credential_one_hop,10003,150,intent_probe,test,v5_test_intent_probe_10003,none,web,flat_five_host,5
lab_185,background_only,10028,150,benign_control,test,v5_test_benign_control_10028,none,admin,flat_five_host,5
lab_186,legitimate_ssh,10028,150,benign_control,test,v5_test_benign_control_10028,none,admin,flat_five_host,5
lab_187,background_only,10010,150,benign_control,test,v5_test_benign_control_10010,none,web,flat_five_host,5
lab_188,legitimate_ssh,10010,150,benign_control,test,v5_test_benign_control_10010,none,web,flat_five_host,5
