state_id,window_start,technique_ids,tactics,actors,targets,has_lateral_movement
65,2017-07-07 14:05:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
66,2017-07-07 14:06:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
67,2017-07-07 14:07:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
68,2017-07-07 14:08:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
69,2017-07-07 14:09:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
70,2017-07-07 14:10:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
71,2017-07-07 14:11:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
72,2017-07-07 14:12:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
73,2017-07-07 14:13:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
74,2017-07-07 14:14:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
75,2017-07-07 14:15:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
76,2017-07-07 14:16:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
77,2017-07-07 14:17:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
78,2017-07-07 14:18:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
79,2017-07-07 14:19:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
80,2017-07-07 14:20:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
81,2017-07-07 14:21:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
82,2017-07-07 14:22:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
83,2017-07-07 14:23:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
84,2017-07-07 14:24:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
85,2017-07-07 14:25:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
86,2017-07-07 14:26:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
87,2017-07-07 14:27:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
88,2017-07-07 14:28:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
89,2017-07-07 14:29:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
90,2017-07-07 14:30:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
91,2017-07-07 14:31:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
92,2017-07-07 14:32:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
93,2017-07-07 14:33:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
94,2017-07-07 14:34:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
95,2017-07-07 14:35:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
96,2017-07-07 14:36:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
97,2017-07-07 14:37:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
98,2017-07-07 14:38:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
99,2017-07-07 14:39:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
100,2017-07-07 14:40:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
101,2017-07-07 14:41:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
102,2017-07-07 14:42:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
103,2017-07-07 14:43:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
104,2017-07-07 14:44:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
105,2017-07-07 14:45:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
106,2017-07-07 14:46:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
107,2017-07-07 14:47:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
108,2017-07-07 14:48:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
109,2017-07-07 14:49:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
110,2017-07-07 14:50:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
111,2017-07-07 14:51:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
112,2017-07-07 14:52:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
113,2017-07-07 14:53:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
114,2017-07-07 14:54:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
115,2017-07-07 14:55:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
116,2017-07-07 14:56:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
117,2017-07-07 14:57:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
118,2017-07-07 14:58:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
119,2017-07-07 14:59:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
120,2017-07-07 15:00:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
121,2017-07-07 15:01:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
122,2017-07-07 15:02:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
123,2017-07-07 15:03:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
124,2017-07-07 15:04:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
125,2017-07-07 15:05:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
126,2017-07-07 15:06:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
127,2017-07-07 15:07:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
128,2017-07-07 15:08:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
129,2017-07-07 15:09:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
130,2017-07-07 15:10:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
131,2017-07-07 15:11:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
132,2017-07-07 15:12:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
133,2017-07-07 15:13:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
134,2017-07-07 15:14:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
135,2017-07-07 15:15:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
136,2017-07-07 15:16:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
137,2017-07-07 15:17:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
138,2017-07-07 15:18:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
139,2017-07-07 15:19:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
140,2017-07-07 15:20:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
141,2017-07-07 15:21:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
142,2017-07-07 15:22:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
143,2017-07-07 15:23:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
144,2017-07-07 15:24:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
145,2017-07-07 15:25:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
146,2017-07-07 15:26:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
147,2017-07-07 15:27:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
148,2017-07-07 15:28:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
149,2017-07-07 15:29:00,,,,,0
